speed,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
25-39,8.835,alive,none,belted,1,f,25,1998,1992,unavail,driver,0,3
10-24,57.0489999996,dead,airbag,none,0,m,29,1997,1994,nodeploy,pass,0,4
40-54,26.8959999999,alive,airbag,belted,1,m,49,2001,1991,deploy,driver,1,3
10-24,957.2849999964,alive,airbag,belted,1,m,26,1997,1995,deploy,driver,,0
25-39,5.202,alive,none,none,1,f,35,2002,1986,unavail,driver,0,3
55+,11.0699999999,dead,none,none,1,m,49,2001,1985,unavail,driver,0,4
10-24,3127.1659999788,alive,airbag,belted,0,f,47,1998,1998,nodeploy,driver,0,0
10-24,27.5619999999,alive,airbag,belted,1,m,38,1998,1995,deploy,driver,1,2
10-24,505.1319999993,alive,airbag,belted,1,m,24,2001,1999,deploy,driver,1,0
40-54,20.2609999999,alive,none,none,1,f,20,1997,1991,unavail,driver,0,3
25-39,17.132,alive,none,none,1,m,61,1998,1983,unavail,driver,0,3
25-39,30.298,alive,airbag,belted,1,m,57,1999,1997,deploy,driver,1,3
10-24,430.7989999987,alive,airbag,belted,0,f,52,2002,1999,nodeploy,driver,0,0
25-39,45.5749999997,alive,airbag,belted,1,f,57,2001,1998,deploy,driver,1,3
25-39,38.4859999996,alive,airbag,belted,1,m,21,2000,1998,deploy,pass,1,3
25-39,14.5349999999,alive,airbag,none,1,f,45,1998,1996,deploy,driver,1,3
25-39,6.834,alive,none,belted,1,f,37,1998,1990,unavail,driver,0,1
10-24,963.4579999968,alive,none,belted,0,f,16,2000,1992,unavail,pass,0,0
25-39,1689.9479999989,alive,none,none,1,m,41,2002,1994,unavail,driver,0,0
10-24,477.117999997,alive,none,belted,1,m,36,1997,1988,unavail,driver,0,0
10-24,34.8709999998,alive,none,none,1,m,30,2001,1990,unavail,driver,0,3
10-24,1288.4499999881,alive,airbag,none,1,m,38,2002,1995,deploy,driver,1,2
10-24,809.9129999951,alive,airbag,belted,1,m,81,1997,1994,deploy,driver,1,1
40-54,23.5839999998,alive,none,belted,1,m,39,1998,1970,unavail,driver,0,0
10-24,2287.7329999805,alive,none,belted,1,f,28,1997,1991,unavail,driver,0,1
10-24,1170.4759999961,alive,airbag,belted,1,m,18,2001,1999,deploy,driver,1,0
10-24,1,alive,airbag,belted,1,f,51,2002,2002,deploy,pass,1,3
10-24,42.4689999996,alive,airbag,none,0,f,18,2000,1994,deploy,pass,1,0
25-39,41.1339999996,alive,airbag,belted,1,m,22,2000,1993,deploy,driver,1,3
10-24,31.4069999999,alive,airbag,belted,1,f,16,2002,2001,deploy,driver,1,3
10-24,509.8209999986,alive,airbag,belted,1,m,23,2000,1995,deploy,pass,1,2
40-54,30.2899999998,alive,airbag,belted,0,f,36,1997,1996,nodeploy,pass,0,0
10-24,49.4829999995,alive,airbag,none,0,m,17,1998,1995,deploy,driver,1,1
10-24,902.061999999,alive,none,belted,1,m,76,2001,1992,unavail,driver,0,5
10-24,423.7129999995,alive,airbag,none,0,f,20,1997,1995,nodeploy,driver,0,0
10-24,315.8789999969,alive,airbag,belted,1,m,29,2001,2001,deploy,driver,1,2
10-24,81.9959999993,alive,none,none,0,f,66,1997,1984,unavail,driver,0,3
1-9km/h,449.3539999984,alive,airbag,belted,0,f,32,2000,1998,nodeploy,driver,0,0
25-39,2384.0319999754,alive,airbag,none,1,f,63,1999,1999,deploy,driver,1,2
25-39,76.9969999995,alive,none,belted,1,m,33,1997,1994,unavail,driver,0,2
10-24,369.0859999992,alive,airbag,belted,1,f,71,2001,1994,deploy,driver,1,1
25-39,11.468,alive,none,belted,0,f,18,1997,1990,unavail,pass,0,2
10-24,45.2549999999,alive,none,none,1,m,40,1997,1988,unavail,pass,0,0
25-39,1266.5729999989,alive,none,belted,1,m,54,1997,1991,unavail,driver,0,0
10-24,92.2949999999,alive,airbag,belted,1,f,38,2001,1999,deploy,driver,1,1
10-24,20.862,alive,airbag,belted,1,f,64,2001,1996,deploy,driver,1,1
10-24,28.4489999998,dead,airbag,none,0,m,26,1997,1995,nodeploy,driver,0,4
10-24,1703.5719999969,alive,none,belted,1,f,54,1998,1989,unavail,driver,0,0
10-24,834.8909999952,alive,airbag,belted,0,m,36,2002,2003,nodeploy,driver,0,0
25-39,99.9959999993,alive,airbag,none,0,f,27,1997,1996,nodeploy,pass,0,1
25-39,553.6429999992,alive,none,belted,1,m,70,1998,1989,unavail,driver,0,0
25-39,40.0699999998,alive,none,none,1,f,19,1998,1966,unavail,pass,0,2
25-39,46.5659999996,alive,none,belted,0,f,49,1998,1993,unavail,pass,0,1
40-54,193.7939999998,alive,airbag,none,1,m,20,2002,2000,deploy,driver,1,3
10-24,37.1299999999,dead,none,none,0,m,57,1997,1982,unavail,driver,0,4
10-24,814.3649999946,alive,airbag,belted,0,m,27,2001,2000,nodeploy,driver,0,0
10-24,63.2329999995,alive,none,belted,1,m,20,1998,1994,unavail,driver,0,1
25-39,164.9779999983,alive,airbag,belted,1,m,18,1999,1998,deploy,driver,1,2
10-24,27.1539999999,alive,airbag,none,1,m,49,2002,1994,nodeploy,driver,0,3
40-54,21.4279999998,alive,none,none,0,m,23,1999,1987,unavail,driver,0,3
55+,76.6779999994,alive,none,belted,1,f,17,1999,1986,unavail,driver,0,2
25-39,104.3399999999,alive,airbag,belted,0,f,48,1997,1995,nodeploy,driver,0,3
10-24,48.409,alive,airbag,belted,0,f,37,2002,1993,deploy,driver,1,3
25-39,63.4679999999,alive,none,belted,1,f,57,1999,1994,unavail,driver,0,2
25-39,264.6799999997,alive,none,belted,1,f,22,1997,1984,unavail,driver,0,0
40-54,5.131,alive,none,none,1,m,37,1998,1975,unavail,driver,0,3
10-24,2115.1749999821,alive,airbag,none,0,f,46,1998,1993,nodeploy,pass,0,1
10-24,183.4819999989,alive,airbag,belted,1,f,37,1999,1997,deploy,driver,1,3
25-39,38.9299999997,alive,none,belted,1,m,43,2002,1993,unavail,driver,0,3
10-24,568.9839999974,alive,airbag,belted,1,f,26,2002,2002,nodeploy,driver,0,1
10-24,59.8489999999,alive,none,belted,0,f,39,2000,1995,unavail,driver,0,0
10-24,592.2669999972,alive,airbag,none,0,f,27,2000,1998,nodeploy,pass,0,2
25-39,49.7679999997,dead,airbag,belted,0,m,49,1998,1996,deploy,driver,1,3
40-54,52.4139999999,dead,none,belted,0,m,22,1998,1985,unavail,driver,0,4
25-39,617.6439999938,alive,none,belted,0,f,17,1999,1991,unavail,driver,0,2
10-24,827.0679999962,alive,none,belted,1,m,24,2001,1992,unavail,driver,0,0
40-54,6.979,alive,airbag,belted,1,f,37,1997,1997,deploy,driver,1,2
40-54,29.1519999998,dead,airbag,belted,0,f,21,2000,1991,nodeploy,driver,0,4
25-39,45.2309999997,alive,airbag,none,0,m,76,2000,1992,nodeploy,pass,0,1
40-54,38.9939999999,alive,none,belted,1,m,63,2002,1991,unavail,driver,0,3
10-24,223.5519999992,alive,none,none,0,m,51,2000,1989,unavail,driver,0,1
1-9km/h,87.1349999998,alive,airbag,none,1,f,33,1997,1996,nodeploy,pass,0,3
10-24,1471.7749999911,alive,none,belted,0,f,37,1997,1993,unavail,driver,0,0
25-39,228.4679999985,alive,none,belted,1,m,18,2002,1989,unavail,pass,0,0
55+,137.3069999982,alive,none,belted,1,m,41,1998,1994,unavail,driver,0,2
10-24,273.7739999965,alive,none,none,1,f,33,2002,1990,unavail,pass,0,3
10-24,771.4139999971,alive,airbag,belted,1,f,61,1997,1992,deploy,driver,1,2
10-24,24.7959999999,alive,airbag,belted,1,m,17,2000,1993,deploy,driver,1,1
10-24,543.9409999996,alive,none,none,1,f,45,2002,1993,unavail,driver,0,1
10-24,2939.4659999907,alive,none,belted,1,f,17,2002,1986,unavail,driver,0,0
10-24,391.8189999983,alive,airbag,belted,1,m,31,1998,1994,deploy,driver,1,1
25-39,24.1629999999,alive,none,belted,0,f,45,2000,1992,unavail,driver,0,0
40-54,41.6819999996,alive,airbag,belted,0,f,38,1999,1993,deploy,driver,1,3
10-24,17.3979999998,alive,airbag,none,0,m,26,2000,1999,nodeploy,driver,0,2
25-39,51.8319999999,alive,airbag,belted,0,m,25,1999,1998,deploy,driver,1,3
25-39,30.2899999998,alive,none,belted,1,m,69,1997,1987,unavail,driver,0,3
10-24,91.9689999996,alive,none,none,1,m,20,2000,1993,unavail,driver,0,3
55+,22.2779999999,alive,airbag,none,1,f,28,1999,1993,deploy,driver,1,3
25-39,52.6909999996,alive,none,belted,1,m,71,1999,1990,unavail,driver,0,2
25-39,495.1559999995,alive,none,none,1,m,19,1999,1991,unavail,driver,0,1
10-24,0,alive,airbag,none,1,f,20,1999,1999,deploy,driver,1,1
10-24,1335.8319999874,alive,none,belted,0,f,17,2002,1994,unavail,driver,0,1
10-24,292.4109999985,alive,airbag,belted,0,f,34,2001,1996,nodeploy,driver,0,2
10-24,177.2749999985,alive,airbag,belted,0,m,23,2001,1996,nodeploy,pass,0,0
25-39,530.5229999945,alive,airbag,belted,1,m,29,2000,1998,deploy,driver,1,0
1-9km/h,1924.7959999889,alive,none,belted,0,f,17,2002,1987,unavail,pass,0,
1-9km/h,379.4579999968,alive,airbag,belted,0,f,28,2000,1999,nodeploy,pass,0,1
40-54,41.9369999999,alive,none,belted,0,m,60,1999,1986,unavail,driver,0,3
10-24,81.517,alive,none,none,0,m,17,1998,1988,unavail,driver,0,2
10-24,389.6959999986,alive,airbag,belted,0,f,63,2001,1999,deploy,pass,1,1
10-24,18.8089999999,alive,airbag,belted,1,f,45,2000,2000,deploy,driver,1,3
10-24,30.4909999999,alive,airbag,belted,1,m,22,1998,1997,nodeploy,driver,0,0
25-39,29.9859999998,alive,none,belted,1,f,35,1998,1994,unavail,driver,0,3
10-24,34.0529999998,alive,airbag,belted,1,f,65,1997,1994,deploy,driver,1,3
10-24,222.8019999992,alive,airbag,belted,1,f,21,2002,1998,deploy,,1,1
10-24,18.8259999999,alive,airbag,belted,1,f,50,2002,1999,nodeploy,driver,0,3
25-39,5.995,dead,none,belted,1,f,46,1997,1988,unavail,driver,0,4
25-39,16.5129999998,alive,none,belted,1,f,54,1998,1990,unavail,driver,0,3
25-39,9.7849999999,alive,airbag,belted,1,f,24,2000,1995,deploy,driver,1,3
10-24,258.3229999989,alive,airbag,belted,0,m,28,2001,1993,nodeploy,driver,0,2
55+,45.2479999997,dead,airbag,none,0,m,20,2001,1997,deploy,pass,1,4
40-54,11.0699999999,dead,airbag,belted,0,f,34,2001,1996,nodeploy,driver,0,4
25-39,5.187,alive,airbag,belted,1,f,32,2001,1996,deploy,driver,1,2
25-39,115.3329999996,alive,none,belted,1,f,37,2000,1992,unavail,driver,0,3
40-54,11.083,alive,none,none,1,m,20,2000,1978,unavail,driver,0,1
10-24,20.848,alive,airbag,belted,1,m,33,1998,1996,deploy,driver,1,3
10-24,362.6789999977,alive,airbag,belted,0,m,26,2002,2000,nodeploy,driver,0,2
25-39,169.8289999999,alive,none,belted,1,f,25,1997,1985,unavail,pass,0,1
10-24,663.2009999976,alive,none,belted,1,m,83,1998,1987,unavail,driver,0,0
40-54,29.2529999998,alive,airbag,belted,1,m,27,2000,1996,deploy,driver,1,1
25-39,37.7249999996,alive,airbag,belted,1,m,51,2000,1997,deploy,driver,1,3
40-54,137.3889999986,alive,airbag,belted,1,m,41,2002,2001,deploy,driver,1,0
55+,61.5039999997,dead,none,belted,0,m,86,1997,1990,unavail,driver,0,4
10-24,316.1669999994,alive,none,belted,0,m,21,1998,1993,unavail,driver,0,0
25-39,420.5989999995,alive,none,belted,0,m,24,2001,1988,unavail,driver,0,1
10-24,9505.4479999542,alive,airbag,belted,1,f,18,2000,2000,nodeploy,pass,0,0
25-39,76.3099999996,alive,none,belted,0,f,35,1997,1984,unavail,driver,0,3
25-39,257.5779999979,alive,airbag,none,0,f,27,2002,2001,deploy,pass,1,1
10-24,16.7379999999,alive,airbag,belted,1,m,77,1998,1995,nodeploy,driver,0,2
10-24,417.8419999965,alive,airbag,belted,0,m,55,1997,1997,nodeploy,driver,0,0
40-54,9.7849999999,alive,none,belted,1,f,52,2000,1986,unavail,driver,0,3
25-39,109.9949999992,alive,none,belted,1,m,26,2001,1991,unavail,driver,0,2
25-39,26.9029999999,dead,none,none,1,m,21,1998,1992,unavail,driver,0,4
25-39,74.352,alive,airbag,belted,1,f,83,2000,1997,deploy,driver,1,3
25-39,1109.3669999987,alive,none,none,1,m,23,1999,1981,unavail,driver,0,2
10-24,87.3569999998,alive,airbag,belted,1,m,26,2001,1996,deploy,driver,1,3
10-24,252.629999999,alive,airbag,belted,1,f,37,1998,1995,deploy,pass,1,2
10-24,192.2299999986,alive,airbag,none,1,m,40,2001,1999,deploy,driver,1,0
25-39,31.1549999998,alive,none,belted,1,m,46,1998,1988,unavail,driver,0,3
55+,8.578,dead,none,none,0,m,46,1997,1987,unavail,driver,0,4
10-24,428.6479999982,alive,none,belted,1,m,18,1997,1994,unavail,driver,0,3
25-39,564.6789999977,alive,airbag,belted,0,m,20,2000,2000,nodeploy,driver,0,0
10-24,298.4029999971,alive,airbag,belted,1,f,58,2000,1997,deploy,driver,1,1
25-39,647.1499999985,alive,none,belted,0,f,18,1997,1990,unavail,driver,0,2
25-39,18.5379999999,alive,airbag,none,1,f,47,2000,1999,deploy,pass,1,2
25-39,125.7129999995,alive,none,none,1,f,18,1999,1986,unavail,driver,0,3
10-24,2087.5789999962,alive,none,belted,0,f,43,2002,1986,unavail,driver,0,3
10-24,180.5489999987,alive,none,belted,1,f,72,1997,1985,unavail,driver,0,1
10-24,3614.3449999988,alive,airbag,belted,1,f,27,2001,1996,nodeploy,driver,0,0
10-24,5672.0309999585,alive,airbag,belted,1,f,33,2001,1997,deploy,driver,1,1
25-39,1060.6769999862,alive,none,belted,1,m,80,1997,1984,unavail,driver,0,1
25-39,9.026,alive,none,belted,1,f,32,2002,1989,unavail,driver,0,0
25-39,2601.0399999917,alive,none,belted,1,f,46,2002,1994,unavail,driver,0,0
10-24,698.6629999951,alive,none,belted,0,f,43,2000,1993,unavail,driver,0,0
25-39,55.0739999996,alive,none,none,1,m,22,1997,1986,unavail,driver,0,1
10-24,245.527999999,alive,none,belted,0,m,68,2001,1987,unavail,driver,0,0
10-24,256.1639999971,alive,none,belted,1,f,42,1997,1989,unavail,driver,0,0
10-24,123.0629999992,alive,airbag,belted,1,f,38,1997,1996,nodeploy,driver,0,2
10-24,1136.2089999914,alive,none,belted,1,f,40,1998,1987,unavail,driver,0,2
10-24,1840.6349999905,alive,airbag,belted,0,f,24,1998,1994,nodeploy,driver,0,1
25-39,12.872,alive,airbag,belted,0,f,35,1998,1993,nodeploy,driver,0,3
25-39,1045.5079999864,alive,airbag,belted,1,f,43,2000,1999,deploy,driver,1,0
40-54,49.7749999999,dead,airbag,belted,0,f,37,1997,1994,deploy,pass,1,4
10-24,45.8859999999,alive,airbag,belted,1,f,28,1999,1997,nodeploy,pass,0,0
10-24,169.4149999991,alive,none,belted,0,m,42,2000,1987,unavail,driver,0,2
10-24,158.084999999,alive,airbag,belted,1,f,75,1999,1996,deploy,driver,1,2
25-39,33.2879999997,alive,none,none,0,m,74,1997,1988,unavail,driver,0,3
10-24,299.2719999999,alive,none,belted,1,f,19,1998,1983,unavail,pass,0,0
10-24,1191.1289999932,alive,airbag,belted,0,f,49,2000,1995,nodeploy,pass,0,1
10-24,3.905,alive,airbag,belted,1,m,49,1997,1995,nodeploy,driver,0,1
40-54,23.034,dead,none,none,1,m,53,1999,1989,unavail,driver,0,4
55+,38.7339999997,alive,airbag,belted,0,m,20,2002,1993,nodeploy,driver,0,3
25-39,9.789,alive,airbag,belted,1,f,21,2002,2000,deploy,driver,1,0
10-24,23.024,alive,airbag,belted,0,m,31,1999,1997,deploy,driver,1,3
25-39,461.367999997,alive,airbag,belted,1,f,34,2000,1992,deploy,driver,1,0
25-39,29.3729999999,alive,airbag,none,0,m,55,1997,1993,nodeploy,driver,0,1
25-39,4.96,alive,airbag,belted,1,m,28,1999,1999,deploy,driver,1,3
10-24,727.7699999958,alive,airbag,belted,1,m,19,2000,1998,nodeploy,driver,0,0
10-24,553.3899999931,alive,airbag,belted,1,m,74,1999,1991,deploy,driver,1,0
40-54,30.2899999998,alive,none,none,1,m,43,1997,1988,unavail,driver,0,3
25-39,5565.7259999514,alive,airbag,none,1,m,31,1998,1998,deploy,pass,1,1
40-54,39.7159999995,dead,none,none,1,m,38,1999,1982,unavail,pass,0,4
40-54,58.8899999997,alive,none,belted,0,f,43,2001,1987,,driver,0,3
55+,13.2949999999,alive,none,none,1,m,24,2002,1987,unavail,pass,0,3
10-24,3913.1569999754,alive,airbag,belted,1,f,65,2001,1997,nodeploy,driver,0,0
10-24,2613.997999996,alive,airbag,belted,1,m,17,1999,1994,nodeploy,driver,0,0
10-24,0,alive,airbag,belted,1,m,29,2001,2000,nodeploy,driver,0,0
25-39,113.6159999995,alive,none,belted,0,m,27,2000,1987,unavail,driver,0,1
25-39,79.7589999996,alive,airbag,belted,0,f,84,2002,1993,deploy,driver,1,3
40-54,52.1779999998,alive,none,none,1,m,39,2001,1992,unavail,pass,0,3
10-24,1856.6369999945,alive,none,belted,1,m,53,1998,1986,unavail,driver,0,0
10-24,216.193,alive,airbag,none,0,f,47,2001,2000,nodeploy,pass,0,0
10-24,2763.0159999728,alive,none,belted,1,m,94,1997,1975,unavail,driver,0,0
10-24,347.9349999987,alive,none,belted,1,m,28,1999,1987,unavail,driver,0,1
25-39,24.497,alive,none,belted,0,m,41,2002,1993,unavail,driver,0,0
25-39,130.1339999996,alive,airbag,none,1,f,24,1997,1997,deploy,pass,1,2
10-24,160.227,alive,airbag,belted,0,f,21,1999,1997,nodeploy,driver,0,1
10-24,269.311999999,alive,airbag,belted,1,f,62,2001,1995,deploy,driver,1,2
40-54,17.497,alive,none,belted,1,m,19,1997,1988,unavail,driver,0,0
25-39,45.2479999997,dead,airbag,belted,0,f,62,2001,1993,nodeploy,pass,0,4
10-24,54.3029999998,alive,none,belted,0,m,20,2001,1987,unavail,pass,0,0
40-54,34.0529999998,alive,none,belted,1,f,37,1997,1989,unavail,pass,0,3
40-54,36.3639999996,alive,airbag,none,1,f,39,1998,1994,deploy,driver,1,3
25-39,1463.0749999881,alive,airbag,belted,1,f,20,2000,1991,deploy,driver,1,2
10-24,2091.9719999731,alive,none,belted,1,m,50,1999,1993,unavail,driver,0,0
55+,52.4139999999,dead,none,none,1,f,45,1998,1988,unavail,pass,0,4
25-39,13.6139999999,alive,none,belted,1,m,34,1998,1986,unavail,driver,0,2
10-24,211.6209999993,alive,airbag,belted,1,m,73,1998,1994,deploy,driver,1,2
25-39,49.7679999997,alive,none,belted,1,m,16,1998,1989,unavail,driver,0,0
10-24,250.3569999989,alive,none,belted,1,m,18,2001,1989,unavail,driver,0,0
10-24,140.6519999988,alive,none,belted,1,f,84,1998,1984,unavail,driver,0,0
10-24,96.8769999994,alive,airbag,none,0,f,82,2000,1998,nodeploy,pass,0,3
10-24,124.3529999992,alive,airbag,none,1,m,21,1998,1998,deploy,driver,1,2
55+,78.1059999997,dead,none,belted,1,f,71,2001,1992,unavail,driver,0,4
10-24,18.5359999998,alive,none,belted,1,m,34,1997,1994,unavail,driver,0,1
10-24,1337.7299999893,alive,airbag,belted,1,f,31,2001,1999,nodeploy,driver,0,0
10-24,661.2639999986,alive,airbag,belted,0,m,62,1997,1996,deploy,driver,1,0
25-39,220.6209999993,alive,airbag,belted,1,f,62,2001,1998,deploy,pass,1,3
10-24,1523.1919999868,alive,airbag,belted,0,m,20,2001,1994,nodeploy,driver,0,1
1-9km/h,1270.2429999858,alive,airbag,belted,0,m,29,2000,1993,nodeploy,driver,0,0
10-24,853.8829999939,alive,airbag,belted,0,f,58,2001,1998,nodeploy,driver,0,0
1-9km/h,316.4299999997,alive,airbag,belted,0,m,26,1998,1998,nodeploy,pass,0,1
25-39,28.855,alive,airbag,belted,1,f,49,2001,1998,deploy,pass,1,1
25-39,136.4749999996,alive,airbag,belted,1,f,44,1997,1990,deploy,driver,1,2
10-24,246.5989999995,alive,none,belted,1,f,26,2002,1992,unavail,driver,0,1
10-24,10.7609999999,alive,none,belted,1,m,28,2001,1991,unavail,driver,0,0
25-39,1357.1509999931,alive,none,belted,1,f,79,1999,1986,unavail,driver,0,2
10-24,251.6539999992,alive,airbag,belted,1,m,20,1998,1996,nodeploy,driver,0,1
25-39,45.6529999999,alive,none,belted,1,m,45,2001,1996,unavail,pass,0,0
40-54,45.5199999996,alive,airbag,belted,1,m,45,2001,1998,deploy,driver,1,3
10-24,38.5949999997,alive,airbag,belted,1,f,31,1997,1996,nodeploy,driver,0,1
25-39,65.3719999995,alive,none,none,1,m,18,2002,1985,unavail,driver,0,3
25-39,193.7939999998,alive,airbag,belted,1,f,35,2002,1999,deploy,driver,1,3
10-24,485.7069999985,alive,airbag,none,1,f,28,2002,1991,deploy,driver,1,1
25-39,12.899,alive,airbag,none,0,f,73,1997,1996,nodeploy,driver,0,3
10-24,86.9859999996,alive,none,belted,0,m,27,1998,1992,unavail,pass,0,
25-39,19.1329999999,alive,airbag,belted,0,f,53,2001,1999,nodeploy,driver,0,3
10-24,73.7149999999,alive,airbag,belted,1,m,59,2002,1989,nodeploy,driver,0,0
10-24,83.3679999998,alive,none,none,1,f,18,2000,1990,unavail,pass,0,3
40-54,34.0729999999,alive,none,belted,1,m,18,1997,1989,unavail,pass,0,3
40-54,63.9319999996,alive,airbag,belted,0,f,44,2000,1999,nodeploy,driver,0,3
25-39,97.1049999995,alive,none,none,1,m,32,1999,1990,unavail,driver,0,3
25-39,13.338,alive,none,none,0,f,53,1999,1988,unavail,driver,0,3
10-24,3.08,alive,none,belted,0,f,79,1997,1990,unavail,driver,0,3
40-54,105.8799999999,alive,none,belted,1,f,57,2001,1989,unavail,driver,0,3
10-24,82.7039999999,alive,airbag,belted,0,m,23,2002,2002,nodeploy,driver,0,0
25-39,20.1179999998,alive,airbag,belted,1,m,55,2002,2000,deploy,driver,1,3
10-24,28.166,alive,none,none,1,f,18,1997,1993,unavail,pass,0,3
40-54,31.183,alive,none,none,0,m,17,1999,1989,unavail,pass,0,3
25-39,14.0369999999,dead,none,none,0,f,50,1997,1989,unavail,pass,0,4
25-39,694.6059999987,alive,none,none,0,m,36,1998,1992,unavail,driver,0,2
10-24,151.3789999988,alive,none,belted,0,f,39,1999,1988,unavail,driver,0,3
40-54,58.9669999997,dead,none,belted,0,f,26,1997,1990,unavail,driver,0,4
25-39,154.959999999,alive,none,none,1,m,41,2001,1992,unavail,driver,0,3
10-24,1616.2639999986,alive,airbag,belted,0,m,35,1997,1991,nodeploy,driver,0,0
10-24,302.3859999999,alive,none,belted,1,m,39,2002,1987,unavail,driver,0,1
25-39,335.6949999966,alive,airbag,belted,1,f,30,2002,2002,deploy,driver,1,2
10-24,80.2629999993,alive,airbag,belted,0,f,53,1999,1996,deploy,driver,1,3
10-24,9148.5669999123,alive,none,none,1,f,33,2000,1984,unavail,driver,0,0
25-39,117.1789999995,alive,airbag,belted,1,m,32,1999,1992,deploy,driver,1,1
25-39,161.0669999998,dead,airbag,belted,0,f,61,1999,1994,nodeploy,driver,0,4
25-39,10.031,alive,none,belted,1,m,28,2001,1985,unavail,driver,0,3
10-24,10.2439999999,alive,none,none,1,m,26,1999,1988,unavail,driver,0,3
10-24,0,alive,airbag,belted,1,f,54,1998,1998,deploy,driver,1,1
10-24,52.2399999998,alive,none,none,0,m,25,1999,1987,unavail,driver,0,1
25-39,18.0229999998,alive,none,belted,1,m,39,1999,1988,unavail,driver,0,2
40-54,9.7849999999,alive,airbag,belted,0,f,69,2000,1995,deploy,driver,1,3
25-39,367.5519999973,alive,none,belted,1,m,18,2002,1992,unavail,driver,0,5
40-54,104.9369999999,alive,none,none,1,f,50,2000,1988,unavail,pass,0,3
25-39,63.9709999999,alive,none,none,1,m,18,1998,1991,unavail,pass,0,2
10-24,10.5789999999,alive,none,belted,1,f,46,2000,1989,unavail,driver,0,3
10-24,1661.7109999955,alive,airbag,none,1,f,23,2001,1996,deploy,driver,1,0
10-24,678.922999993,alive,airbag,belted,1,f,16,2002,1994,deploy,pass,1,0
1-9km/h,50.3119999999,alive,none,belted,1,m,18,1997,1992,unavail,driver,0,0
25-39,47.1779999998,alive,none,belted,1,f,23,2000,1990,unavail,driver,0,3
10-24,76.3729999997,alive,none,belted,1,f,74,1997,1991,unavail,driver,0,0
55+,32.264,alive,none,belted,1,f,37,1998,1996,unavail,pass,0,3
10-24,41.7959999996,dead,airbag,none,1,f,51,2002,1997,deploy,driver,1,4
10-24,65.784,alive,airbag,belted,0,f,28,1999,1996,deploy,driver,1,3
10-24,172.1199999992,alive,airbag,belted,0,m,25,1997,1996,deploy,driver,1,1
10-24,383.060999997,alive,airbag,belted,1,f,39,1998,1996,deploy,driver,1,1
10-24,3711.1339999735,alive,airbag,none,0,f,20,2001,1997,nodeploy,pass,0,0
25-39,52.1099999999,alive,none,none,1,f,19,1998,1987,unavail,driver,0,3
10-24,400.6359999999,alive,airbag,belted,0,f,20,2002,1998,nodeploy,pass,0,0
25-39,528.1719999984,alive,none,none,0,m,26,1998,1990,unavail,pass,0,2
40-54,101.6739999997,alive,airbag,belted,1,m,18,1997,1994,deploy,driver,1,2
10-24,19.8069999998,alive,airbag,belted,0,f,16,1999,1998,nodeploy,driver,0,3
55+,89.9199999999,alive,airbag,belted,1,m,36,1997,1997,deploy,driver,1,3
10-24,34.3249999997,alive,airbag,belted,0,f,52,2002,1999,nodeploy,pass,0,3
10-24,123.9759999998,alive,airbag,belted,1,f,76,2001,1994,nodeploy,driver,0,1
10-24,146.5749999993,alive,airbag,belted,1,f,41,2000,1995,deploy,pass,1,3
40-54,71.1439999994,alive,airbag,belted,1,m,47,2000,1998,deploy,driver,1,2
10-24,954.7539999932,alive,airbag,belted,0,m,59,2001,2000,nodeploy,driver,0,1
25-39,1294.522999987,alive,airbag,belted,1,f,36,1999,,nodeploy,driver,0,0
25-39,54.3029999998,alive,airbag,none,0,f,68,2001,1993,deploy,driver,1,3
25-39,186.8059999999,alive,airbag,belted,1,f,17,1999,1995,deploy,driver,1,1
25-39,86.2209999999,alive,airbag,belted,1,f,55,2000,1998,deploy,driver,1,1
1-9km/h,25.3149999999,alive,airbag,belted,1,m,21,1997,1994,nodeploy,driver,0,3
25-39,24.443,dead,airbag,belted,1,f,54,2002,1991,deploy,driver,1,4
25-39,43.6659999997,alive,airbag,belted,0,m,27,2001,1999,nodeploy,driver,0,3
10-24,647.174999997,alive,none,belted,1,f,32,2002,1992,unavail,driver,0,2
25-39,643.0199999958,alive,airbag,belted,0,m,51,2000,1997,deploy,driver,1,0
10-24,604.5249999985,alive,airbag,belted,1,m,57,1999,1997,nodeploy,driver,0,0
10-24,12.6159999999,alive,airbag,belted,1,f,49,2000,1995,nodeploy,driver,0,3
10-24,194.7179999985,alive,airbag,none,1,m,75,2000,2000,deploy,driver,1,1
25-39,22.7089999998,alive,airbag,none,0,f,32,2001,2001,nodeploy,pass,0,3
40-54,4.96,alive,airbag,belted,1,m,39,1999,1998,deploy,pass,1,2
10-24,93.3109999998,alive,airbag,belted,1,m,20,2002,1995,nodeploy,driver,0,3
1-9km/h,40.0699999998,alive,airbag,belted,0,f,38,1998,1996,nodeploy,pass,0,
10-24,227.0239999983,alive,airbag,belted,0,m,40,1997,1995,nodeploy,driver,0,1
25-39,107.2199999997,alive,airbag,belted,0,f,17,1998,1998,nodeploy,pass,0,3
25-39,24.2679999999,alive,none,belted,1,f,25,2002,1995,unavail,pass,0,1
10-24,315.9579999968,alive,airbag,belted,1,f,18,1999,1996,deploy,driver,1,0
25-39,146.243999999,alive,none,belted,1,m,55,2000,1988,unavail,driver,0,2
