year,age,maritl,race,education,jobclass,health,health_ins,wage
2007,52,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,114.4757132903
2004,49,4. Divorced,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,123.0896998479
2008,58,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,73.1183069239
2003,39,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,134.7053751189
2006,39,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591026
2008,29,2. Married,2. Black,4. College Grad,2. Information,2. >=Very Good,1. Yes,81.2832532843
2008,33,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1146238778
2005,26,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.4757132903
2006,53,4. Divorced,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,138.2991269209
2009,19,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,43.735111678
2003,36,5. Separated,2. Black,3. Some College,2. Information,1. <=Good,2. No,91.6992261117
2009,26,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,160.6436381718
2006,30,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,118.8843593399
2007,27,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2008,52,4. Divorced,2. Black,4. College Grad,2. Information,2. >=Very Good,1. Yes,95.230712567
2007,43,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.7459705519
2006,37,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,169.0735400494
2004,56,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,163.5158639762
2006,41,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,81.2832532843
2004,34,1. Never Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,79.8549003093
2005,41,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,91.6992261117
2007,62,4. Divorced,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.8339856422
2006,27,2. Married,1. White,1. < HS Grad,2. Information,1. <=Good,2. No,73.7757432747
2003,41,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,148.4131591026
2006,57,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,123.0896998479
2004,43,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,163.5158639762
2004,47,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,131.2245937551
2005,50,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,114.4757132903
2003,39,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,134.7053751189
2004,60,1. Never Married,2. Black,1. < HS Grad,2. Information,1. <=Good,1. Yes,77.0452008528
2007,23,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.226746312
2009,32,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,127.9012329791
2003,47,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,65.1108537153
2003,26,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.6894636985
2008,33,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,276.7784133212
2006,56,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,124.7204462429
2005,30,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2008,36,2. Married,3. Asian,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153
2007,35,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.8843593399
2008,51,2. Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,2. No,76.8936025176
2007,38,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.9810327856
2008,31,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,94.0727147457
2006,64,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,114.4757132903
2009,76,4. Divorced,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504899
2003,36,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.2930820723
2009,50,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,133.2323508266
2008,33,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,94.0727147457
2006,41,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,101.8243520757
2003,51,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,2. No,81.2832532843
2004,48,4. Divorced,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,130.9821773775
2008,60,4. Divorced,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,147.11668916
2009,24,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,148.4131591026
2005,50,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,89.492479518
2007,56,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,129.1566930047
2007,50,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894636985
2007,34,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.2832532843
2005,23,1. Never Married,4. Other,2. HS Grad,2. Information,2. >=Very Good,2. No,73.7757432747
2009,37,4. Divorced,1. White,4. College Grad,2. Information,1. <=Good,2. No,118.8843593399
2003,47,4. Divorced,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,84.045957654
2004,76,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,73.7757432747
2009,48,2. Married,3. Asian,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,127.1157438122
2003,31,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.2832532843
2008,32,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,125.5254984338
2009,43,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,129.4536445766
2004,48,4. Divorced,2. Black,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,85.383940379
2006,50,4. Divorced,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,153.457515309
2003,31,2. Married,3. Asian,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,171.7651326275
2003,24,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,51.5219563147
2004,43,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,200.5432623247
2009,50,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2008,49,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,154.6852929956
2007,55,3. Widowed,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,127.1157438122
2007,55,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,130.2208323588
2003,37,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,94.0727147457
2007,32,1. Never Married,1. White,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,96.3706528322
2003,31,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,92.6581301669
2004,37,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.1157438122
2008,51,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,59.0328548279
2009,30,1. Never Married,3. Asian,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2008,55,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,127.1157438122
2005,27,2. Married,2. Black,1. < HS Grad,1. Industrial,1. <=Good,2. No,66.2294082944
2003,50,2. Married,3. Asian,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2006,43,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,149.6950420685
2006,54,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,132.4878211261
2006,33,1. Never Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,84.045957654
2003,23,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.9810327856
2004,30,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,70.4760196469
2009,48,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591026
2007,59,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,139.0034080595
2003,41,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,85.383940379
2004,27,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.6894636985
2008,43,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,196.1252725943
2008,57,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.0727147457
2003,48,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,84.5294690249
2003,29,2. Married,3. Asian,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,95.230712567
2008,23,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,36.6737041961
2003,45,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,130.9821773775
2005,54,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,114.4757132903
2007,31,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504899
2004,35,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723332
2006,30,1. Never Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.1157438122
2003,45,4. Divorced,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,143.1349408111
2006,49,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,165.2087737673
2007,37,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,114.4757132903
2007,47,2. Married,2. Black,3. Some College,2. Information,2. >=Very Good,1. Yes,130.9821773775
2005,56,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,56.4538649754
2007,70,2. Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,2. No,100.7642728421
2007,61,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,281.7459705519
2008,35,5. Separated,2. Black,3. Some College,2. Information,2. >=Very Good,1. Yes,114.4757132903
2006,28,5. Separated,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,90.4819133566
2008,23,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,127.1157438122
2005,40,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,109.8339856422
2005,45,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,118.8843593399
2003,58,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,32.3664131749
2005,48,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,152.2168068271
2004,28,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,97.4932940454
2003,42,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,123.908567598
2009,39,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,73.7773452719
2007,35,2. Married,1. White,4. College Grad,2. Information,1. <=Good,2. No,118.8843593399
2006,50,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,87.9810327856
2008,35,5. Separated,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,139.0034080595
2005,37,2. Married,3. Asian,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,81.2832532843
2006,35,1. Never Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,73.7757432747
2003,46,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,130.9821773775
2009,40,5. Separated,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,107.3160631578
2004,44,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,102.8702469332
2003,50,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.9215065337
2006,68,4. Divorced,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,87.9810327856
2008,39,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,145.1436011769
2004,36,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,94.654020382
2003,42,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,85.383940379
2003,39,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.9215065337
2005,23,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,59.0970640816
2003,33,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,2. No,111.720849361
2006,46,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,108.0658303097
2008,30,5. Separated,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,70.8150386168
2005,30,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,103.9024706032
2003,40,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,268.2662920126
2006,55,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,173.87949331
2006,37,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,78.392466801
2006,60,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,96.0316570194
2003,58,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.8339856422
2004,40,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,66.9616443217
2003,56,4. Divorced,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,109.8339856422
2007,45,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,2. No,92.8958447895
2004,52,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,99.6894636985
2009,28,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,66.2294082944
2007,57,4. Divorced,1. White,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,87.9810327856
2008,59,4. Divorced,1. White,3. Some College,2. Information,1. <=Good,1. Yes,151.5914842398
2009,44,2. Married,4. Other,3. Some College,1. Industrial,2. >=Very Good,1. Yes,169.5285380367
2005,44,5. Separated,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.8843593399
2008,34,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.8843593399
2008,38,2. Married,1. White,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,276.7784133212
2004,33,4. Divorced,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,55.0697284223
2005,64,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2004,46,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,139.7030715277
2008,52,4. Divorced,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,132.4878211261
2003,38,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,131.737801155
2004,46,2. Married,3. Asian,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,190.5476785647
2003,37,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,78.392466801
2004,33,1. Never Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,2. No,63.7733911962
2009,42,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,123.5000177746
2005,38,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,139.0034080595
2003,54,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,124.7204462429
2003,32,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,73.7757432747
2009,57,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,157.1035043235
2006,31,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,102.8702469332
2006,30,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,107.9039238669
2009,53,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.9810327856
2004,20,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153
2004,58,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,87.9810327856
2004,51,4. Divorced,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,138.2991269209
2004,45,2. Married,1. White,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,130.9821773775
2009,42,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.6804882206
2008,41,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,110.7826502763
2009,43,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,200.5432623247
2006,30,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,105.3758926603
2006,65,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,104.9215065337
2003,54,2. Married,1. White,3. Some College,2. Information,1. <=Good,1. Yes,72.4793162971
2006,39,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,112.1369229922
2005,43,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.8339856422
2006,36,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,89.8800467811
2006,26,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,75.0431540174
2006,36,1. Never Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,63.1888610037
2009,35,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,117.1468169148
2009,55,4. Divorced,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,102.8702469332
2009,47,4. Divorced,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,90.4819133566
2006,34,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,56.9055391447
2005,49,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,101.8243520757
2007,63,2. Married,2. Black,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,318.3424300565
2009,47,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,51.2396549228
2007,48,2. Married,1. White,4. College Grad,2. Information,1. <=Good,2. No,128.6804882206
2009,42,2. Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,101.8243520757
2005,36,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,140.051197617
2005,31,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.2832532843
2008,42,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,176.9896504899
2005,31,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,80.5731997057
2003,30,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,53.0275511165
2004,51,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,123.0896998479
2009,45,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,130.9821773775
2004,33,2. Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,2. No,20.9343779401
2005,45,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,130.9821773775
2004,50,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,141.7751723332
2008,53,4. Divorced,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,176.9896504899
2004,30,4. Divorced,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,88.9923771888
2009,44,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,109.8339856422
2003,40,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,118.8843593399
2009,43,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.0896998479
2009,34,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,70.4760196469
2009,30,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2008,58,5. Separated,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2009,55,2. Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,2. No,79.8549003093
2007,52,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,149.0558955894
2003,59,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,107.9039238669
2006,38,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,110.7826502763
2008,46,4. Divorced,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,110.1729302878
2008,27,1. Never Married,2. Black,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.7757432747
2005,40,4. Divorced,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153
2008,35,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,96.3706528322
2006,26,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,130.9821773775
2007,19,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,41.4412130349
2009,50,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2003,46,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,114.4757132903
2005,34,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2004,37,4. Divorced,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,57.4636470385
2005,52,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.8339856422
2005,49,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,176.9896504899
2006,34,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,78.392466801
2005,57,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896504899
2004,28,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,56.9055391447
2009,55,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,107.9039238669
2008,34,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,76.8936025176
2007,49,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,79.8549003093
2007,35,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,94.0727147457
2006,51,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,130.9821773775
2003,22,1. Never Married,1. White,3. Some College,2. Information,1. <=Good,2. No,81.2832532843
2005,60,3. Widowed,2. Black,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,92.8958447895
2004,36,2. Married,1. White,3. Some College,2. Information,1. <=Good,1. Yes,81.4468348606
2006,44,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,102.7662808773
2009,58,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,109.8339856422
2006,55,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,99.6894636985
2003,45,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,133.2323508266
2003,21,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,63.1888610037
2007,50,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.9215065337
2008,71,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,99.6916283971
2007,29,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,92.8958447895
2006,44,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,116.2653240625
2009,30,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.2832532843
2004,45,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,150.0132862827
2003,45,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,176.9896504899
2007,50,2. Married,1. White,4. College Grad,2. Information,1. <=Good,2. No,70.4760196469
2004,33,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,185.9186628798
2007,57,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504899
2003,42,1. Never Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,82.6796372966
2006,47,2. Married,2. Black,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,145.1436011769
2008,27,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.3865890236
2004,41,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,133.2323508266
2007,34,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,163.5158639762
2008,53,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.8339856422
2003,52,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,138.2991269209
2005,32,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2003,39,2. Married,3. Asian,1. < HS Grad,1. Industrial,1. <=Good,2. No,68.7480877338
2003,57,2. Married,2. Black,2. HS Grad,1. Industrial,1. <=Good,1. Yes,90.4819133566
2004,40,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.383940379
2005,35,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,86.0428011302
2006,53,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,89.2428846645
2007,35,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,130.9821773775
2005,55,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,114.4757132903
2007,32,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,89.492479518
2006,50,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,54.5981500331
2003,38,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,70.4760196469
2008,49,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,94.0727147457
2003,42,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,74.4446382014
2005,32,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,86.1737867271
2008,47,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,87.9810327856
2009,63,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,110.7826502763
2004,57,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,97.4932940454
2005,43,5. Separated,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.8339856422
2007,38,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,141.7751723332
2004,27,1. Never Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,2. No,84.045957654
2008,44,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,87.9810327856
2006,23,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,40.4056652597
